Temperature_DS18B20;Temperature;Celsius;Temperature;None;Short
Temperature_DS18B20;Temperature;Celsius;Temperature;None;Long
Temperature_DS18B20;Temperature;Fahrenheit;Temperature;None;Short
Temperature_DS18B20;Temperature;Fahrenheit;Temperature;None;Long
Temperature_DS18B20;Temperature;Kelvin;Temperature;None;Short
Temperature_DS18B20;Temperature;Kelvin;Temperature;None;Long
Temperature_DS18B20;Temperature;Rankine;Temperature;None;Short
Temperature_DS18B20;Temperature;Rankine;Temperature;None;Long
Temperature_DS18B20;Temperature;Romer;Temperature;None;Short
Temperature_DS18B20;Temperature;Romer;Temperature;None;Long
Temperature_DS18B20;Temperature;Newton;Temperature;None;Short
Temperature_DS18B20;Temperature;Newton;Temperature;None;Long
Temperature_DS18B20;Temperature;Delisle;Temperature;None;Short
Temperature_DS18B20;Temperature;Delisle;Temperature;None;Long
Temperature_DS18B20;Temperature;Reaumur;Temperature;None;Short
Temperature_DS18B20;Temperature;Reaumur;Temperature;None;Long
Ultrasonic_HCSR04;ProximityDistance;Meter;Length;Centi;Short
Ultrasonic_HCSR04;ProximityDistance;Meter;Length;Centi;Long