Meter;Length;Metro;m;
Inch;Length;Polegada;″;A polegada (inch em inglês, símbolos: in ou dupla plica ″) é uma unidade de comprimento usada no sistema imperial de medidas. Uma polegada é igual a 2,54 centímetros ou 25,4 milímetros.
Foot;Length;Pé;ft;Pé (ou pés no plural; símbolo: ft ou ′) é uma unidade de medida de comprimento. Um pé corresponde a doze polegadas, e três pés são uma jarda. Esse sistema de medida é utilizado atualmente no Reino Unido, nos Estados Unidos e, com menor frequência, no Canadá. Um pé correspondia a onze polegadas e meia. Hoje, a medida é doze polegadas. Esta medida é amplamente usada na aviação e atualmente equivale a 30,48 centímetros.
Yard;Length;Jarda;yd;A jarda é a unidade de comprimento básica nos sistemas de medida utilizados nos Estados Unidos e no Reino Unido. No século XII, o rei Henrique I da Inglaterra fixou a jarda como a distância entre seu nariz e o polegar de seu braço estendido. Atualmente é usada no futebol americano. O símbolo da jarda é yd, do inglês yard. Uma jarda vale 0,9144 metros.
Mile;Length;Milha;mi;A milha terrestre é uma unidade de medida de comprimento definida pelo sistema imperial de medidas como o equivalente a 1.609,344 metros. Seu símbolo é mi. (do inglês, mile). Atualmente é mais utilizada nos Estados Unidos e Reino Unido.
League;Length;Légua;';Légua era a denominação de várias unidades de medidas de itinerários (de comprimentos longos) utilizadas em Portugal, Brasil, e em outros países, até à introdução do sistema métrico. As várias unidades com esta denominação tinham valores que variavam entre 2 e 7 quilômetros.
Celsius;Temperature;Celsius;°C;A escala de grau Celsius(símbolo: °C) é uma escala termométrica, do sistema métrico, usada na maioria dos países do mundo. Teve origem a partir do modelo proposto pelo astrônomo sueco Anders Celsius(1701 - 1744), inicialmente denominado escala centígrada(Grau centígrado).
Fahrenheit;Temperature;Fahrenheit;°F;O grau fahrenheit(símbolo: °F) é uma escala de temperatura proposta por Daniel Gabriel Fahrenheit em 1724.
Kelvin;Temperature;Kelvin;°K;O kelvin (símbolo: K) é o nome da unidade de base do Sistema Internacional de Unidades (SI) para a grandeza temperatura termodinâmica. O kelvin é a fração 1/273,16 da temperatura termodinâmica do ponto triplo da água, ou seja, é definido de tal modo que o ponto triplo da água é exatamente 273,16 K. É uma das sete unidades de base do SI, muito utilizada na física e química. É utilizado para medir a temperatura absoluta de um objeto, com zero absoluto sendo 0 K.
Rankine;Temperature;Rankine;°Ra;A escala Rankine (símbolo °R, °Ra) é uma escala de temperatura assim chamada em homenagem ao engenheiro e físico escocês William John Macquorn Rankine, que a propôs em 1859. Assim como a escala kelvin, o 0°Ra é o zero absoluto, porém o grau Rankine é definido como sendo igual a um grau Fahrenheit. Assim, a variação de um grau °Ra equivale a variação de um grau °F. Então a temperatura de -459,67°F é exatamente igual a 0°Ra.
Romer;Temperature;Rømer;°Rø;Rømer é uma escala de temperatura em desuso proposta pelo astrônomo dinamarquês Ole Christensen Rømer em 1701. Nesta escala, o zero foi inicialmente a temperatura de congelamento da salmoura. O ponto de ebulição da água foi definido como 60 graus. Rømer viu o ponto de congelamento da água cair para cerca de um oitavo desse valor (7,5 graus), e este valor foi utilizado como outro ponto de referência. Uma história plausível sobre a criação da escala Fahrenheit seria que Daniel Gabriel Fahrenheit, soube da existência da escala de Rømer e o visitou em 1708; melhorou a escala, e criou a escala que hoje conhecemos sob o nome de Fahrenheit em 1724.
Newton;Temperature;Newton;°N;A escala Newton (símbolo: °N) é uma escala de temperatura concebida pelo físico e matemático Isaac Newton por volta de 1700. Ele elaborou, primeiramente, uma escala de temperatura qualitativa, compreendendo cerca de 20 pontos de referência que variam de "ar frio no inverno" para "brasas no fogo da cozinha". Essa foi uma abordagem um tanto problemática e Newton rapidamente tornou-se insatisfeito com ela. Ele sabia que a maioria das substâncias se expandem quando aquecidas, então mediu a diferença de volume de óleo de linhaça com seus pontos de referência. Ele encontrou que o volume do óleo de linhaça aumentou 7,25% quando aquecido a partir da temperatura de derretimento da neve até a ebulição da água. Newton definiu os pontos fixos de sua escala como o derretimento da neve (0°N) e a ebulição da água (33°N). Sua escala é, portanto, um precursor da escala Celsius, visto que as duas escalas são definidas pelas mesmas referências.
Delisle;Temperature;Delisle;°D;O Grau Deslile (°D) é uma escala de temperatura inventada em 1732 pelo astrônomo francês Joseph-Nicolas Delisle (1688–1768). Delisle foi o autor de Mémoires pour servir à l'histoire et aux progrès de l'Astronomie, e de Géographie et de la Physique (1738).
Reaumur;Temperature;Reaumur;°Ré;A escala Réaumur (símbolo: °Ré, °Re, °R) é uma escala de temperatura proposta em 1730 pelo físico e inventor francês René Antoine Ferchault de Réaumur (1683-1757) cujos pontos fixos são o ponto de congelamento da água (0°Ré) e seu ponto de ebulição (80°Ré).[2][3] Assim, a unidade desta escala, o grau Réaumur, vale 5/4 de 1 grau Celsius e tem o mesmo zero que o grau Celsius. O termômetro contem álcool diluído e foi construído sob o princípio de tomar o ponto de congelamento da água como zero. A graduação do tubo foi feita em graus nos quais cada um deles era um milésimo do volume contido no bulbo. Réaumur escolheu o álcool em vez do mercúrio, alegando que esse se expandiu de forma mais visível, mas essa escolha provocou problemas, pois seus termômetros originais eram muito volumosos, e o baixo ponto de ebulição do álcool os fez impróprios para muitas aplicações.